60807,66652,31,172,,,,
2889,70935,5,15,,,,
2890,70935,6,25,,,,
27089,16,8,37,,,,
54765,314,16,64,,,,
19486,67090,26,147,,,,
27090,16,16,65,,,,
27091,16,16,66,,,,
7664,77027,1,2,,,,
2910,75218,6,25,,,,
7665,77027,1,4,,,,
30035,205,7,32,,,,
37300,76647,16,64,,,,
2921,75513,5,15,,,,
2922,75513,6,25,,,,
2923,75588,5,15,,,,
2924,75588,6,25,,,,
27094,36,16,66,,,,
30037,205,16,65,,,,
7670,77027,1,44,,,,
32801,115,12,177,333,,,
32802,115,16,65,333,,,
27097,37,16,66,,,,
2932,75801,6,25,,,,
2933,76188,5,15,,,,
2934,76188,6,25,,,,
30040,205,12,177,,,,
33829,76070,16,65,,,,
60808,66652,28,160,,,,
37301,76647,16,65,,,,
27100,38,16,66,,,,
2941,76339,5,15,,,,
2942,76339,6,25,,,,
2943,76382,5,15,,,,
2944,76382,6,25,,,,
7785,28,5,17,,,,
7786,28,6,24,,,,
19489,71299,26,147,,,,
19490,71980,26,147,,,,
33831,76098,12,177,,,,
33832,76098,16,65,,,,
37302,76647,16,66,,,,
2952,76860,6,25,,,,
27103,39,16,66,,,,
2954,76871,6,25,,,,
33834,76143,12,177,,,,
2956,76885,6,25,,,,
33835,76143,16,65,,,,
2958,76908,6,25,,,,
27106,40,16,66,,,,
2960,76979,6,25,,,,
7787,29,5,17,,,,
60809,66652,31,171,,,,
37303,76647,16,117,,,,
33837,76169,12,177,,,,
42706,66538,25,136,,,,
60810,66652,31,173,,,,
33838,76169,16,65,,,,
2968,77116,6,25,,,,
42707,66538,27,165,,,,
2970,77131,6,25,,,,
7788,29,6,24,,,,
19493,75179,26,147,,,,
7789,30,5,17,,,,
2974,77151,6,25,,,,
7790,30,6,24,,,,
7791,32,5,17,,,,
7792,32,6,24,,,,
6908,48,6,25,,,,
19494,75198,26,147,,,,
6910,74236,6,25,,,,
19495,75215,26,147,,,,
3264,71355,2,9,,,,
3265,71355,2,8,,,,
3266,71355,2,10,,,,
3267,71355,4,13,,,,
3268,71355,4,12,,,,
19496,75311,26,147,,,,
27112,43,16,66,,,,
27113,44,8,37,,,,
27114,44,16,65,,,,
27115,44,16,66,,,,
27116,46,8,37,,,,
12502,10,2,11,,,,
27117,46,16,65,,,,
19497,75468,26,147,,,,
27118,46,16,66,,,,
33840,76191,12,177,,,,
33841,76191,16,65,,,,
54767,314,16,117,,,,
37305,76647,8,39,,,,
33843,76203,12,177,,,,
27125,67,8,37,,,,
27126,67,16,65,,,,
27127,67,16,66,,,,
33844,76203,16,65,,,,
39010,228,16,65,,,,
27130,96,16,66,,,,
33846,76245,12,177,,,,
33847,76245,16,65,,,,
27133,118,16,66,,,,
42709,66538,25,139,,,,
19498,75605,26,147,,,,
54768,314,8,40,,,,
54769,314,16,214,,,,
27137,67267,8,37,,,,
27138,67267,16,65,,,,
27139,67267,16,66,,,,
54770,314,16,215,,,,
42710,66538,25,137,,,,
27140,67415,8,36,,,,
19499,75728,26,147,,,,
33852,76254,12,177,,,,
33853,76254,16,65,,,,
27141,67415,16,64,,,,
12561,75326,16,65,,,,
27142,67415,16,65,,,,
27143,67415,16,66,,,,
27144,67415,16,117,,,,
19500,75803,26,147,,,,
12566,75326,8,42,,,,
27145,67415,8,37,,,,
27146,67415,16,65,,,,
27147,67415,16,66,,,,
42711,66538,25,138,,,,
33855,76266,12,177,,,,
27150,68255,16,66,,,,
27151,74073,8,37,,,,
4886,48,5,15,,,,
4887,48,5,16,,,,
27152,74073,16,65,,,,
27153,74073,16,66,,,,
27154,74223,8,37,,,,
27155,74223,16,65,,,,
27156,74223,16,66,,,,
19501,75882,26,147,,,,
19502,75890,26,147,,,,
19503,76147,26,147,,,,
27157,75004,8,37,,,,
27158,75004,16,65,,,,
33856,76266,16,65,,,,
27159,75004,16,66,,,,
27160,75078,8,37,,,,
27161,75078,16,65,,,,
12064,44,2,9,,,,
27162,75078,16,66,,,,
2977,70935,5,16,,,,
2978,70935,6,24,,,,
12065,44,2,8,,,,
12066,44,2,10,,,,
27163,75114,8,36,,,,
12068,44,12,60,,,,
27164,75114,16,64,,,,
27165,75114,16,65,,,,
27166,75114,16,66,,,,
27167,75114,16,117,,,,
27168,75114,8,37,,,,
19507,76447,26,147,,,,
27169,75114,16,65,,,,
37306,383,7,32,,,,
12072,44,7,32,,,,
12073,44,7,33,,,,
2995,75218,5,15,,,,
37307,383,7,33,,,,
2996,75218,5,16,,,,
15478,66773,27,154,,,,
60811,66652,31,180,,,,
15480,66821,27,154,,,,
2997,75218,6,24,,,,
44681,75023,12,177,,,,
30042,10,7,30,,,,
27170,75114,16,66,,,,
27171,75225,8,37,,,,
27172,75225,16,65,,,,
27173,75225,16,66,,,,
30043,14,12,61,,,,
60812,66652,31,181,,,,
4702,76562,9,47,,,,
60813,66652,28,219,,,,
12074,44,7,34,,,,
4703,76562,9,46,,,,
30044,14,12,176,,,,
30045,14,7,30,,,,
27177,75296,8,37,,,,
27178,75296,16,65,,,,
30046,16,7,30,,,,
44682,75023,16,65,,,,
27179,75296,16,66,,,,
27180,75303,8,37,,,,
27181,75303,16,65,,,,
12076,44,8,43,,,,
15482,66924,27,154,,,,
27182,75303,16,66,,,,
3006,75513,5,16,,,,
27183,75315,8,37,,,,
32808,272,26,148,,,,
27185,75315,16,66,,,,
3007,75513,6,24,,,,
27186,75321,8,37,,,,
27187,75321,16,65,,,,
27188,75321,16,66,,,,
3008,75588,5,16,,,,
12078,44,12,62,,,,
27189,75326,8,37,,,,
3009,75588,6,24,,,,
15484,66966,27,154,,,,
27190,75326,16,65,,,,
27191,75326,16,66,,,,
27192,75371,8,37,,,,
27193,75371,16,65,,,,
12080,44,16,65,,,,
3017,75801,5,15,,,,
3018,75801,5,16,,,,
3019,75801,6,24,,,,
3020,76188,5,16,,,,
3021,76188,6,24,,,,
12081,44,16,66,,,,
27194,75371,16,66,,,,
2018,11,4,12,,,,
15486,67030,27,154,,,,
3029,76339,5,16,,,,
27198,75473,8,37,,,,
27199,75473,16,65,,,,
3030,76339,6,24,,,,
3031,76382,5,16,,,,
3032,76382,6,24,,,,
11829,76282,7,32,,,,
11830,76282,7,33,,,,
13481,68957,31,175,,,,
11831,76282,7,34,,,,
27200,75473,16,66,,,,
27201,75485,8,37,,,,
27202,75485,16,65,,,,
2033,75967,4,12,,,,
2034,75970,4,12,,,,
27203,75485,16,66,,,,
44684,75059,12,177,,,,
2037,76094,4,12,,,,
2038,76120,4,12,,,,
44685,75059,16,65,,,,
2040,76170,4,12,,,,
2041,76190,4,12,,,,
2043,76235,4,12,,,,
2044,76255,4,12,,,,
2045,76292,4,12,,,,
12086,44,8,42,,,,
44687,75119,12,177,,,,
12089,44,8,41,,,,
27207,75584,8,37,,,,
12091,44,2,11,,,,
27208,75584,16,65,,,,
3042,76860,5,15,,,,
3043,76860,5,16,,,,
3044,76860,6,24,,,,
3045,76871,5,15,,,,
3046,76871,5,16,,,,
3047,76871,6,24,,,,
3048,76885,5,15,,,,
3049,76885,5,16,,,,
3050,76885,6,24,,,,
3051,76908,5,15,,,,
3052,76908,5,16,,,,
3053,76908,6,24,,,,
3054,76979,5,15,,,,
3055,76979,5,16,,,,
3056,76979,6,24,,,,
27209,75584,16,66,,,,
32810,272,26,145,,,,
27212,75604,16,66,,,,
32811,272,26,149,,,,
32812,272,26,147,,,,
15488,67117,27,154,,,,
3068,77116,5,15,,,,
3069,77116,5,16,,,,
3070,77116,6,24,,,,
3071,77131,5,15,,,,
3072,77131,5,16,,,,
3073,77131,6,24,,,,
27215,75626,16,66,,,,
27216,75641,8,36,,,,
27217,75641,16,64,,,,
3077,77151,5,15,,,,
27218,75641,16,65,,,,
27219,75641,16,66,,,,
27220,75641,16,117,,,,
27221,75641,8,37,,,,
27222,75641,16,65,,,,
3078,77151,5,16,,,,
3079,77151,6,24,,,,
1952,11,4,23,,,,
27223,75641,16,66,,,,
27224,75648,8,37,,,,
27225,75648,16,65,,,,
5835,75078,16,65,,,,
27226,75648,16,66,,,,
15490,67323,27,154,,,,
12092,75974,9,45,,,,
27227,75677,8,37,,,,
27228,75677,16,65,,,,
12093,75974,9,47,,,,
9802,76042,7,32,,,,
44688,75119,16,65,,,,
44690,75121,12,177,,,,
1967,75967,4,23,,,,
1968,75970,4,23,,,,
27229,75677,16,66,,,,
1971,76094,4,23,,,,
1972,76120,4,23,,,,
9803,76042,7,33,,,,
1974,76170,4,23,,,,
1975,76190,4,23,,,,
27230,75711,8,37,,,,
1977,76235,4,23,,,,
1978,76255,4,23,,,,
1979,76292,4,23,,,,
27231,75711,16,65,,,,
9804,76042,7,34,,,,
15492,67447,27,154,,,,
27232,75711,16,66,,,,
27233,75739,8,37,,,,
27234,75739,16,65,,,,
27235,75739,16,66,,,,
12094,75974,9,46,,,,
27236,75764,8,37,,,,
27237,75764,16,65,,,,
27238,75764,16,66,,,,
20067,318,7,32,,,,
12099,75974,7,32,,,,
58219,76345,32,187,,,,
58220,76345,32,185,,,,
27242,75868,8,37,,,,
27243,75868,16,65,,,,
10117,75225,16,65,,,,
27244,75868,16,66,,,,
32813,272,26,146,,,,
15494,67625,27,154,,,,
15496,67649,27,154,,,,
11423,71169,5,15,,,,
33858,76278,12,177,,,,
5859,75371,16,65,,,,
11424,71169,5,16,,,,
15498,67733,27,154,,,,
3388,66353,1,1,,,,
3389,66353,10,54,,,,
33859,76278,16,65,,,,
15502,69919,27,154,,,,
11425,71169,6,24,,,,
37314,75512,12,177,365,,,
11426,71169,6,25,,,,
33861,76280,12,177,,,,
2564,75318,2,9,,,,
33862,76280,16,65,,,,
15504,70066,27,154,,,,
11429,71169,7,32,,,,
11430,71169,7,33,,,,
15506,70760,27,154,,,,
11431,71169,7,34,,,,
2573,75967,2,9,,,,
